#Posizione iniziale=2.000000
#Velocita' iniziale=1.000000
#Pulsazione al quadrato=3.000000
#Tempo massimo di integrazione=100.000000
#Passo di tempo=0.001000
#E' stato utilizzato l'algoritmo Leap Frog
#Legenda
#1:t 2:x 3:v 4:dE
0 2.000000 0.997000 0
0.001000 2.000997 0.993999 -0.409362
0.002000 2.001988 0.987994 -0.409360
0.003000 2.002973 0.981987 -0.409359
0.004000 2.003952 0.975976 -0.409357
0.005000 2.004925 0.969963 -0.409356
0.006000 2.005892 0.963947 -0.409354
0.007000 2.006853 0.957928 -0.409353
0.008000 2.007808 0.951906 -0.409351
0.009000 2.008757 0.945881 -0.409350
0.010000 2.009700 0.939853 -0.409348
0.011000 2.010636 0.933823 -0.409347
0.012000 2.011567 0.927789 -0.409345
0.013000 2.012492 0.921753 -0.409343
0.014000 2.013411 0.915714 -0.409342
0.015000 2.014323 0.909673 -0.409340
0.016000 2.015230 0.903628 -0.409339
0.017000 2.016131 0.897581 -0.409337
0.018000 2.017025 0.891532 -0.409336
0.019000 2.017914 0.885479 -0.409334
0.020000 2.018796 0.879424 -0.409333
0.021000 2.019673 0.873366 -0.409331
0.022000 2.020543 0.867306 -0.409329
0.023000 2.021407 0.861243 -0.409328
0.024000 2.022265 0.855178 -0.409326
0.025000 2.023117 0.849110 -0.409325
0.026000 2.023964 0.843039 -0.409323
0.027000 2.024804 0.836966 -0.409322
0.028000 2.025637 0.830890 -0.409320
0.029000 2.026465 0.824812 -0.409318
0.030000 2.027287 0.818731 -0.409317
0.031000 2.028103 0.812648 -0.409315
0.032000 2.028912 0.806563 -0.409314
0.033000 2.029716 0.800475 -0.409312
0.034000 2.030513 0.794384 -0.409310
0.035000 2.031305 0.788292 -0.409309
0.036000 2.032090 0.782197 -0.409307
0.037000 2.032869 0.776099 -0.409306
0.038000 2.033642 0.769999 -0.409304
0.039000 2.034409 0.763897 -0.409302
0.040000 2.035170 0.757793 -0.409301
0.041000 2.035925 0.751686 -0.409299
0.042000 2.036673 0.745577 -0.409298
0.043000 2.037416 0.739466 -0.409296
0.044000 2.038152 0.733353 -0.409294
0.045000 2.038883 0.727237 -0.409293
0.046000 2.039607 0.721120 -0.409291
0.047000 2.040325 0.715000 -0.409289
0.048000 2.041037 0.708878 -0.409288
0.049000 2.041743 0.702754 -0.409286
0.050000 2.042442 0.696627 -0.409284
0.051000 2.043136 0.690499 -0.409283
0.052000 2.043823 0.684368 -0.409281
0.053000 2.044505 0.678236 -0.409280
0.054000 2.045180 0.672101 -0.409278
0.055000 2.045849 0.665965 -0.409276
0.056000 2.046512 0.659826 -0.409275
0.057000 2.047168 0.653686 -0.409273
0.058000 2.047819 0.647543 -0.409271
0.059000 2.048463 0.641399 -0.409270
0.060000 2.049102 0.635253 -0.409268
0.061000 2.049734 0.629104 -0.409266
0.062000 2.050360 0.622954 -0.409265
0.063000 2.050980 0.616802 -0.409263
0.064000 2.051594 0.610648 -0.409261
0.065000 2.052201 0.604493 -0.409260
0.066000 2.052803 0.598335 -0.409258
0.067000 2.053398 0.592176 -0.409256
0.068000 2.053987 0.586015 -0.409255
0.069000 2.054570 0.579852 -0.409253
0.070000 2.055147 0.573687 -0.409251
0.071000 2.055717 0.567521 -0.409250
0.072000 2.056282 0.561353 -0.409248
0.073000 2.056840 0.555183 -0.409246
0.074000 2.057392 0.549012 -0.409244
0.075000 2.057938 0.542839 -0.409243
0.076000 2.058478 0.536664 -0.409241
0.077000 2.059011 0.530488 -0.409239
0.078000 2.059539 0.524310 -0.409238
0.079000 2.060060 0.518131 -0.409236
0.080000 2.060575 0.511950 -0.409234
0.081000 2.061084 0.505768 -0.409233
0.082000 2.061587 0.499584 -0.409231
0.083000 2.062083 0.493398 -0.409229
0.084000 2.062573 0.487211 -0.409227
0.085000 2.063057 0.481023 -0.409226
0.086000 2.063535 0.474833 -0.409224
0.087000 2.064007 0.468641 -0.409222
0.088000 2.064473 0.462449 -0.409221
0.089000 2.064932 0.456255 -0.409219
0.090000 2.065385 0.450059 -0.409217
0.091000 2.065832 0.443862 -0.409215
0.092000 2.066273 0.437664 -0.409214
0.093000 2.066707 0.431465 -0.409212
0.094000 2.067136 0.425264 -0.409210
0.095000 2.067558 0.419062 -0.409209
0.096000 2.067974 0.412859 -0.409207
0.097000 2.068384 0.406654 -0.409205
0.098000 2.068787 0.400448 -0.409203
0.099000 2.069185 0.394241 -0.409202
0.100000 2.069576 0.388033 -0.409200
0.101000 2.069961 0.381824 -0.409198
0.102000 2.070339 0.375613 -0.409196
0.103000 2.070712 0.369402 -0.409195
0.104000 2.071078 0.363189 -0.409193
0.105000 2.071438 0.356975 -0.409191
0.106000 2.071792 0.350760 -0.409190
0.107000 2.072140 0.344545 -0.409188
0.108000 2.072481 0.338328 -0.409186
0.109000 2.072816 0.332110 -0.409184
0.110000 2.073145 0.325891 -0.409183
0.111000 2.073468 0.319671 -0.409181
0.112000 2.073785 0.313450 -0.409179
0.113000 2.074095 0.307228 -0.409177
0.114000 2.074399 0.301005 -0.409176
0.115000 2.074697 0.294782 -0.409174
0.116000 2.074989 0.288557 -0.409172
0.117000 2.075274 0.282332 -0.409170
0.118000 2.075553 0.276106 -0.409169
0.119000 2.075826 0.269879 -0.409167
0.120000 2.076093 0.263651 -0.409165
0.121000 2.076354 0.257422 -0.409163
0.122000 2.076608 0.251193 -0.409162
0.123000 2.076856 0.244962 -0.409160
0.124000 2.077098 0.238731 -0.409158
0.125000 2.077334 0.232500 -0.409156
0.126000 2.077563 0.226267 -0.409155
0.127000 2.077786 0.220034 -0.409153
0.128000 2.078003 0.213801 -0.409151
0.129000 2.078214 0.207566 -0.409149
0.130000 2.078418 0.201331 -0.409147
0.131000 2.078616 0.195096 -0.409146
0.132000 2.078808 0.188860 -0.409144
0.133000 2.078994 0.182623 -0.409142
0.134000 2.079174 0.176386 -0.409140
0.135000 2.079347 0.170148 -0.409139
0.136000 2.079514 0.163910 -0.409137
0.137000 2.079675 0.157671 -0.409135
0.138000 2.079829 0.151432 -0.409133
0.139000 2.079978 0.145192 -0.409132
0.140000 2.080120 0.138952 -0.409130
0.141000 2.080255 0.132711 -0.409128
0.142000 2.080385 0.126470 -0.409126
0.143000 2.080508 0.120229 -0.409125
0.144000 2.080626 0.113987 -0.409123
0.145000 2.080736 0.107745 -0.409121
0.146000 2.080841 0.101503 -0.409119
0.147000 2.080939 0.095260 -0.409117
0.148000 2.081032 0.089017 -0.409116
0.149000 2.081117 0.082774 -0.409114
0.150000 2.081197 0.076531 -0.409112
0.151000 2.081270 0.070287 -0.409110
0.152000 2.081338 0.064043 -0.409109
0.153000 2.081399 0.057799 -0.409107
0.154000 2.081453 0.051555 -0.409105
0.155000 2.081502 0.045310 -0.409103
0.156000 2.081544 0.039066 -0.409102
0.157000 2.081580 0.032821 -0.409100
0.158000 2.081610 0.026576 -0.409098
0.159000 2.081633 0.020331 -0.409096
0.160000 2.081650 0.014086 -0.409094
0.161000 2.081661 0.007841 -0.409093
0.162000 2.081666 0.001596 -0.409091
0.163000 2.081664 -0.004649 -0.409089
0.164000 2.081657 -0.010894 -0.409087
0.165000 2.081643 -0.017139 -0.409086
0.166000 2.081622 -0.023384 -0.409084
0.167000 2.081596 -0.029628 -0.409082
0.168000 2.081563 -0.035873 -0.409080
0.169000 2.081524 -0.042118 -0.409078
0.170000 2.081479 -0.048362 -0.409077
0.171000 2.081427 -0.054607 -0.409075
0.172000 2.081370 -0.060851 -0.409073
0.173000 2.081306 -0.067095 -0.409071
0.174000 2.081235 -0.073339 -0.409070
0.175000 2.081159 -0.079582 -0.409068
0.176000 2.081076 -0.085826 -0.409066
0.177000 2.080987 -0.092069 -0.409064
0.178000 2.080892 -0.098311 -0.409063
0.179000 2.080791 -0.104554 -0.409061
0.180000 2.080683 -0.110796 -0.409059
0.181000 2.080569 -0.117038 -0.409057
0.182000 2.080449 -0.123280 -0.409055
0.183000 2.080323 -0.129521 -0.409054
0.184000 2.080190 -0.135762 -0.409052
0.185000 2.080051 -0.142002 -0.409050
0.186000 2.079906 -0.148242 -0.409048
0.187000 2.079754 -0.154481 -0.409047
0.188000 2.079597 -0.160720 -0.409045
0.189000 2.079433 -0.166959 -0.409043
0.190000 2.079263 -0.173197 -0.409041
0.191000 2.079087 -0.179434 -0.409040
0.192000 2.078904 -0.185671 -0.409038
0.193000 2.078715 -0.191908 -0.409036
0.194000 2.078520 -0.198144 -0.409034
0.195000 2.078319 -0.204379 -0.409033
0.196000 2.078112 -0.210614 -0.409031
0.197000 2.077898 -0.216848 -0.409029
0.198000 2.077678 -0.223081 -0.409027
0.199000 2.077452 -0.229314 -0.409025
0.200000 2.077219 -0.235546 -0.409024
0.201000 2.076981 -0.241777 -0.409022
0.202000 2.076736 -0.248008 -0.409020
0.203000 2.076485 -0.254237 -0.409018
0.204000 2.076227 -0.260466 -0.409017
0.205000 2.075964 -0.266695 -0.409015
0.206000 2.075694 -0.272922 -0.409013
0.207000 2.075418 -0.279149 -0.409011
0.208000 2.075135 -0.285375 -0.409010
0.209000 2.074847 -0.291600 -0.409008
0.210000 2.074552 -0.297824 -0.409006
0.211000 2.074251 -0.304047 -0.409004
0.212000 2.073944 -0.310269 -0.409003
0.213000 2.073631 -0.316491 -0.409001
0.214000 2.073311 -0.322711 -0.408999
0.215000 2.072985 -0.328931 -0.408997
0.216000 2.072653 -0.335149 -0.408996
0.217000 2.072315 -0.341366 -0.408994
0.218000 2.071971 -0.347583 -0.408992
0.219000 2.071620 -0.353798 -0.408990
0.220000 2.071263 -0.360013 -0.408989
0.221000 2.070900 -0.366226 -0.408987
0.222000 2.070531 -0.372438 -0.408985
0.223000 2.070155 -0.378649 -0.408984
0.224000 2.069773 -0.384859 -0.408982
0.225000 2.069385 -0.391068 -0.408980
0.226000 2.068991 -0.397275 -0.408978
0.227000 2.068591 -0.403482 -0.408977
0.228000 2.068184 -0.409687 -0.408975
0.229000 2.067771 -0.415891 -0.408973
0.230000 2.067352 -0.422093 -0.408971
0.231000 2.066927 -0.428295 -0.408970
0.232000 2.066496 -0.434495 -0.408968
0.233000 2.066058 -0.440694 -0.408966
0.234000 2.065614 -0.446891 -0.408965
0.235000 2.065164 -0.453087 -0.408963
0.236000 2.064708 -0.459282 -0.408961
0.237000 2.064246 -0.465476 -0.408959
0.238000 2.063777 -0.471668 -0.408958
0.239000 2.063303 -0.477858 -0.408956
0.240000 2.062822 -0.484047 -0.408954
0.241000 2.062334 -0.490235 -0.408953
0.242000 2.061841 -0.496421 -0.408951
0.243000 2.061342 -0.502606 -0.408949
0.244000 2.060836 -0.508790 -0.408947
0.245000 2.060324 -0.514971 -0.408946
0.246000 2.059806 -0.521151 -0.408944
0.247000 2.059282 -0.527330 -0.408942
0.248000 2.058751 -0.533507 -0.408941
0.249000 2.058215 -0.539683 -0.408939
0.250000 2.057672 -0.545856 -0.408937
0.251000 2.057123 -0.552029 -0.408936
0.252000 2.056568 -0.558199 -0.408934
0.253000 2.056007 -0.564368 -0.408932
0.254000 2.055439 -0.570535 -0.408931
0.255000 2.054866 -0.576701 -0.408929
0.256000 2.054286 -0.582864 -0.408927
0.257000 2.053700 -0.589026 -0.408925
0.258000 2.053108 -0.595187 -0.408924
0.259000 2.052509 -0.601345 -0.408922
