#Posizione iniziale=2.000000
#Velocita' iniziale=1.000000
#Pulsazione al quadrato=3.000000
#Tempo massimo di integrazione=100.000000
#Passo di tempo=0.001000
#E' stato utilizzato l'algoritmo di Eulero-Cromer
#Legenda
#1:t 2:x 3:v 4:dE
0 2.000000 1.000000 0
0.001000 2.000994 0.994000 -0.409092
0.002000 2.001982 0.987997 -0.409094
0.003000 2.002964 0.981991 -0.409095
0.004000 2.003940 0.975982 -0.409097
0.005000 2.004910 0.969970 -0.409098
0.006000 2.005874 0.963956 -0.409100
0.007000 2.006832 0.957938 -0.409101
0.008000 2.007784 0.951918 -0.409103
0.009000 2.008730 0.945894 -0.409105
0.010000 2.009670 0.939868 -0.409106
0.011000 2.010603 0.933839 -0.409108
0.012000 2.011531 0.927807 -0.409109
0.013000 2.012453 0.921773 -0.409111
0.014000 2.013369 0.915735 -0.409112
0.015000 2.014278 0.909695 -0.409114
0.016000 2.015182 0.903652 -0.409115
0.017000 2.016080 0.897607 -0.409117
0.018000 2.016971 0.891558 -0.409118
0.019000 2.017857 0.885508 -0.409120
0.020000 2.018736 0.879454 -0.409122
0.021000 2.019610 0.873398 -0.409123
0.022000 2.020477 0.867339 -0.409125
0.023000 2.021338 0.861278 -0.409126
0.024000 2.022193 0.855214 -0.409128
0.025000 2.023043 0.849147 -0.409129
0.026000 2.023886 0.843078 -0.409131
0.027000 2.024723 0.837006 -0.409133
0.028000 2.025554 0.830932 -0.409134
0.029000 2.026378 0.824855 -0.409136
0.030000 2.027197 0.818776 -0.409137
0.031000 2.028010 0.812695 -0.409139
0.032000 2.028816 0.806611 -0.409140
0.033000 2.029617 0.800524 -0.409142
0.034000 2.030411 0.794435 -0.409144
0.035000 2.031200 0.788344 -0.409145
0.036000 2.031982 0.782250 -0.409147
0.037000 2.032758 0.776154 -0.409148
0.038000 2.033528 0.770056 -0.409150
0.039000 2.034292 0.763956 -0.409152
0.040000 2.035050 0.757853 -0.409153
0.041000 2.035802 0.751748 -0.409155
0.042000 2.036547 0.745640 -0.409157
0.043000 2.037287 0.739531 -0.409158
0.044000 2.038020 0.733419 -0.409160
0.045000 2.038748 0.727305 -0.409161
0.046000 2.039469 0.721188 -0.409163
0.047000 2.040184 0.715070 -0.409165
0.048000 2.040893 0.708949 -0.409166
0.049000 2.041596 0.702827 -0.409168
0.050000 2.042292 0.696702 -0.409170
0.051000 2.042983 0.690575 -0.409171
0.052000 2.043667 0.684446 -0.409173
0.053000 2.044346 0.678315 -0.409175
0.054000 2.045018 0.672182 -0.409176
0.055000 2.045684 0.666047 -0.409178
0.056000 2.046344 0.659910 -0.409179
0.057000 2.046998 0.653771 -0.409181
