#Posizione iniziale=2.000000
#Velocita' iniziale=1.000000
#Pulsazione al quadrato=3.000000
#Tempo massimo di integrazione=100.000000
#Passo di tempo=0.005000
#E' stato utilizzato l'algoritmo di Eulero
#Legenda
#1:t 2:x 3:v 4:dE
0 2.000000 1.000000 0
0.005000 2.005000 0.970000 -0.409047
0.010000 2.009850 0.939925 -0.409002
0.015000 2.014550 0.909777 -0.408958
0.020000 2.019099 0.879559 -0.408914
0.025000 2.023496 0.849273 -0.408869
0.030000 2.027743 0.818920 -0.408825
0.035000 2.031837 0.788504 -0.408781
0.040000 2.035780 0.758026 -0.408736
0.045000 2.039570 0.727490 -0.408692
0.050000 2.043207 0.696896 -0.408648
0.055000 2.046692 0.666248 -0.408603
0.060000 2.050023 0.635548 -0.408559
0.065000 2.053201 0.604797 -0.408515
0.070000 2.056225 0.573999 -0.408470
0.075000 2.059095 0.543156 -0.408426
0.080000 2.061811 0.512269 -0.408381
0.085000 2.064372 0.481342 -0.408337
0.090000 2.066779 0.450377 -0.408293
0.095000 2.069031 0.419375 -0.408248
0.100000 2.071127 0.388340 -0.408204
0.105000 2.073069 0.357273 -0.408160
0.110000 2.074855 0.326177 -0.408115
0.115000 2.076486 0.295054 -0.408071
0.120000 2.077962 0.263907 -0.408026
0.125000 2.079281 0.232737 -0.407982
0.130000 2.080445 0.201548 -0.407938
0.135000 2.081453 0.170341 -0.407893
0.140000 2.082304 0.139119 -0.407849
0.145000 2.083000 0.107885 -0.407804
0.150000 2.083539 0.076640 -0.407760
0.155000 2.083923 0.045387 -0.407715
0.160000 2.084149 0.014128 -0.407671
0.165000 2.084220 -0.017134 -0.407627
0.170000 2.084134 -0.048398 -0.407582
0.175000 2.083892 -0.079660 -0.407538
0.180000 2.083494 -0.110918 -0.407493
0.185000 2.082940 -0.142170 -0.407449
0.190000 2.082229 -0.173414 -0.407404
0.195000 2.081362 -0.204648 -0.407360
0.200000 2.080338 -0.235868 -0.407316
0.205000 2.079159 -0.267073 -0.407271
0.210000 2.077824 -0.298261 -0.407227
0.215000 2.076332 -0.329428 -0.407182
0.220000 2.074685 -0.360573 -0.407138
0.225000 2.072882 -0.391693 -0.407093
0.230000 2.070924 -0.422787 -0.407049
0.235000 2.068810 -0.453851 -0.407004
0.240000 2.066541 -0.484883 -0.406960
0.245000 2.064116 -0.515881 -0.406915
0.250000 2.061537 -0.546843 -0.406871
0.255000 2.058803 -0.577766 -0.406826
0.260000 2.055914 -0.608648 -0.406782
0.265000 2.052871 -0.639486 -0.406737
0.270000 2.049673 -0.670279 -0.406693
0.275000 2.046322 -0.701024 -0.406648
0.280000 2.042817 -0.731719 -0.406604
0.285000 2.039158 -0.762362 -0.406559
0.290000 2.035346 -0.792949 -0.406515
0.295000 2.031382 -0.823479 -0.406470
0.300000 2.027264 -0.853950 -0.406426
0.305000 2.022994 -0.884359 -0.406381
0.310000 2.018573 -0.914704 -0.406337
0.315000 2.013999 -0.944982 -0.406292
0.320000 2.009274 -0.975192 -0.406248
0.325000 2.004398 -1.005331 -0.406203
0.330000 1.999372 -1.035397 -0.406159
0.335000 1.994195 -1.065388 -0.406114
0.340000 1.988868 -1.095301 -0.406070
0.345000 1.983391 -1.125134 -0.406025
0.350000 1.977765 -1.154885 -0.405981
0.355000 1.971991 -1.184551 -0.405936
0.360000 1.966068 -1.214131 -0.405891
0.365000 1.959998 -1.243622 -0.405847
0.370000 1.953779 -1.273022 -0.405802
