#Posizione iniziale=2.000000
#Velocita' iniziale=1.000000
#Pulsazione al quadrato=3.000000
#Tempo massimo di integrazione=100.000000
#Passo di tempo=0.050000
#E' stato utilizzato l'algoritmo Leap Frog
#Legenda
#1:t 2:x 3:v 4:dE
0 2.000000 0.850000 0
0.050000 2.042500 0.696813 -0.417684
0.100000 2.069681 0.388399 -0.413404
0.150000 2.081340 0.077072 -0.408992
0.200000 2.077388 -0.234832 -0.404581
0.250000 2.057857 -0.544976 -0.400302
0.300000 2.022891 -0.851032 -0.396283
0.350000 1.972753 -1.150705 -0.392646
0.400000 1.907820 -1.441748 -0.389498
0.450000 1.828579 -1.721978 -0.386935
0.500000 1.735623 -1.989293 -0.385032
0.550000 1.629649 -2.241689 -0.383848
0.600000 1.511454 -2.477271 -0.383416
0.650000 1.381922 -2.694274 -0.383751
0.700000 1.242026 -2.891071 -0.384842
0.750000 1.092815 -3.066184 -0.386657
0.800000 0.935408 -3.218300 -0.389141
0.850000 0.770985 -3.346280 -0.392219
0.900000 0.600780 -3.449162 -0.395801
0.950000 0.426069 -3.526176 -0.399777
1.000000 0.248162 -3.576743 -0.404030
1.050000 0.068395 -3.600485 -0.408432
1.100000 -0.111886 -3.597223 -0.412851
1.150000 -0.291328 -3.566982 -0.417155
1.200000 -0.468584 -3.509989 -0.421215
1.250000 -0.642327 -3.426670 -0.424910
1.300000 -0.811251 -3.317652 -0.428128
1.350000 -0.974092 -3.183751 -0.430773
1.400000 -1.129627 -3.025972 -0.432767
1.450000 -1.276689 -2.845499 -0.434049
1.500000 -1.414176 -2.643684 -0.434582
1.550000 -1.541057 -2.422041 -0.434348
1.600000 -1.656381 -2.182233 -0.433356
1.650000 -1.759281 -1.926059 -0.431634
1.700000 -1.848986 -1.655439 -0.429235
1.750000 -1.924825 -1.372403 -0.426230
1.800000 -1.986227 -1.079074 -0.422710
1.850000 -2.032732 -0.777652 -0.418779
1.900000 -2.063992 -0.470398 -0.414555
1.950000 -2.079772 -0.159616 -0.410165
2.000000 -2.079954 0.152364 -0.405741
2.050000 -2.064536 0.463200 -0.401414
2.100000 -2.033633 0.770563 -0.397314
2.150000 -1.987479 1.072147 -0.393565
2.200000 -1.926419 1.365689 -0.390278
2.250000 -1.850910 1.648989 -0.387552
2.300000 -1.761520 1.919921 -0.385468
2.350000 -1.658918 2.176454 -0.384089
2.400000 -1.543875 2.416663 -0.383456
2.450000 -1.417252 2.638748 -0.383588
2.500000 -1.280000 2.841042 -0.384481
2.550000 -1.133148 3.022028 -0.386109
2.600000 -0.977797 3.180349 -0.388422
2.650000 -0.815113 3.314817 -0.391351
2.700000 -0.646315 3.424424 -0.394810
2.750000 -0.472670 3.508348 -0.398693
2.800000 -0.295481 3.565959 -0.402885
2.850000 -0.116075 3.596826 -0.407260
2.900000 0.064202 3.600716 -0.411688
2.950000 0.243997 3.577601 -0.416035
3.000000 0.421962 3.527654 -0.420172
3.050000 0.596762 3.451250 -0.423974
3.100000 0.767087 3.348961 -0.427328
3.150000 0.931659 3.221555 -0.430134
3.200000 1.089243 3.069988 -0.432307
3.250000 1.238657 2.895395 -0.433782
3.300000 1.378782 2.699087 -0.434515
3.350000 1.508566 2.482536 -0.434484
3.400000 1.627036 2.247366 -0.433691
3.450000 1.733303 1.995341 -0.432158
3.500000 1.826570 1.728350 -0.429932
3.550000 1.906138 1.448397 -0.427080
3.600000 1.971410 1.157581 -0.423686
3.650000 2.021896 0.858083 -0.419852
3.700000 2.057218 0.552150 -0.415694
3.750000 2.077111 0.242075 -0.411336
3.800000 2.081425 -0.069815 -0.406907
3.850000 2.070129 -0.381182 -0.402542
3.900000 2.043307 -0.689690 -0.398370
3.950000 2.001160 -0.993025 -0.394517
4.000000 1.944005 -1.288912 -0.391097
4.050000 1.872269 -1.575133 -0.388214
4.100000 1.786491 -1.849540 -0.385953
4.150000 1.687315 -2.110075 -0.384383
4.200000 1.575484 -2.354785 -0.383549
4.250000 1.451837 -2.581834 -0.383478
4.300000 1.317301 -2.789519 -0.384172
4.350000 1.172885 -2.976283 -0.385609
4.400000 1.019672 -3.140725 -0.387747
4.450000 0.858812 -3.281611 -0.390521
4.500000 0.691511 -3.397886 -0.393849
4.550000 0.519024 -3.488676 -0.397630
4.600000 0.342644 -3.553301 -0.401752
4.650000 0.163694 -3.591276 -0.406092
4.700000 -0.016484 -3.602317 -0.410518
4.750000 -0.196538 -3.586340 -0.414900
4.800000 -0.375118 -3.543466 -0.419105
4.850000 -0.550885 -3.474016 -0.423007
4.900000 -0.722520 -3.378510 -0.426490
4.950000 -0.888736 -3.257666 -0.429450
5.000000 -1.048286 -3.112390 -0.431797
5.050000 -1.199975 -2.943770 -0.433462
5.100000 -1.342663 -2.753072 -0.434395
5.150000 -1.475282 -2.541726 -0.434567
5.200000 -1.596836 -2.311317 -0.433974
5.250000 -1.706414 -2.063574 -0.432634
5.300000 -1.803193 -1.800353 -0.430585
5.350000 -1.886449 -1.523630 -0.427891
5.400000 -1.955556 -1.235480 -0.424631
5.450000 -2.009997 -0.938063 -0.420903
5.500000 -2.049363 -0.633611 -0.416819
5.550000 -2.073358 -0.324407 -0.412501
5.600000 -2.081803 -0.012770 -0.408079
5.650000 -2.074635 0.298963 -0.403684
5.700000 -2.051907 0.608454 -0.399448
5.750000 -2.013790 0.913381 -0.395499
5.800000 -1.960569 1.211458 -0.391954
5.850000 -1.892644 1.500449 -0.388920
5.900000 -1.810524 1.778186 -0.386487
5.950000 -1.714825 2.042587 -0.384728
6.000000 -1.606265 2.291669 -0.383696
6.050000 -1.485658 2.523564 -0.383423
6.100000 -1.353909 2.736531 -0.383915
6.150000 -1.212005 2.928975 -0.385158
6.200000 -1.061012 3.099451 -0.387116
6.250000 -0.902060 3.246681 -0.389729
6.300000 -0.736343 3.369562 -0.392919
6.350000 -0.565104 3.467170 -0.396591
6.400000 -0.389626 3.538775 -0.400635
6.450000 -0.211227 3.583839 -0.404929
6.500000 -0.031242 3.602024 -0.409346
6.550000 0.148976 3.593194 -0.413752
6.600000 0.328077 3.557415 -0.418016
6.650000 0.504717 3.494956 -0.422010
6.700000 0.677572 3.406284 -0.425615
6.750000 0.845346 3.292065 -0.428723
6.800000 1.006779 3.153156 -0.431240
6.850000 1.160661 2.990598 -0.433091
6.900000 1.305839 2.805610 -0.434221
6.950000 1.441222 2.599580 -0.434596
7.000000 1.565797 2.374054 -0.434205
7.050000 1.678628 2.130722 -0.433059
7.100000 1.778869 1.871410 -0.431193
7.150000 1.865769 1.598062 -0.428663
7.200000 1.938675 1.312729 -0.425544
7.250000 1.997042 1.017550 -0.421929
7.300000 2.040430 0.714740 -0.417928
7.350000 2.068516 0.406569 -0.413660
7.400000 2.081087 0.095349 -0.409252
7.450000 2.078050 -0.216587 -0.404837
7.500000 2.059428 -0.526898 -0.400546
7.550000 2.025361 -0.833257 -0.396509
7.600000 1.976103 -1.133367 -0.392846
7.650000 1.912024 -1.424976 -0.389667
7.700000 1.833605 -1.705898 -0.387067
7.750000 1.741434 -1.974026 -0.385124
7.800000 1.636202 -2.227349 -0.383896
7.850000 1.518699 -2.463967 -0.383420
7.900000 1.389806 -2.682104 -0.383710
7.950000 1.250489 -2.880127 -0.384758
8.000000 1.101793 -3.056548 -0.386531
8.050000 0.944834 -3.210045 -0.388978
8.100000 0.780789 -3.339466 -0.392024
8.150000 0.610887 -3.443842 -0.395579
8.200000 0.436404 -3.522389 -0.399535
8.250000 0.258648 -3.574518 -0.403776
8.300000 0.078953 -3.599838 -0.408173
8.350000 -0.101335 -3.598159 -0.412594
8.400000 -0.280863 -3.569495 -0.416909
8.450000 -0.458285 -3.514058 -0.420987
8.500000 -0.632269 -3.432267 -0.424705
8.550000 -0.801511 -3.324733 -0.427954
8.600000 -0.964742 -3.192264 -0.430636
8.650000 -1.120738 -3.035853 -0.432669
8.700000 -1.268328 -2.856673 -0.433995
8.750000 -1.406405 -2.656068 -0.434572
8.800000 -1.533935 -2.435543 -0.434383
8.850000 -1.649960 -2.196751 -0.433434
8.900000 -1.753610 -1.941483 -0.431754
8.950000 -1.844108 -1.671654 -0.429393
9.000000 -1.920775 -1.389288 -0.426421
9.050000 -1.983037 -1.096502 -0.422928
