#Posizione iniziale=2.000000
#Velocita' iniziale=1.000000
#Pulsazione al quadrato=3.000000
#Tempo massimo di integrazione=100.000000
#Passo di tempo=0.005000
#E' stato utilizzato l'algoritmo Verlet Posizioni
#Legenda
#1:t 2:x 3:v 4:dE
0 2.000000 1.000000 0
0.005000 2.005000 0.984962 -0.410448
0.010000 2.009850 0.954851 -0.410372
0.015000 2.014549 0.924668 -0.410296
0.020000 2.019096 0.894416 -0.410218
0.025000 2.023493 0.864096 -0.410140
0.030000 2.027737 0.833712 -0.410062
0.035000 2.031830 0.803265 -0.409982
0.040000 2.035770 0.772758 -0.409902
0.045000 2.039557 0.742193 -0.409821
0.050000 2.043192 0.711573 -0.409740
0.055000 2.046673 0.680899 -0.409658
0.060000 2.050001 0.650174 -0.409576
0.065000 2.053175 0.619400 -0.409492
0.070000 2.056195 0.588580 -0.409409
0.075000 2.059061 0.557715 -0.409325
0.080000 2.061772 0.526809 -0.409240
0.085000 2.064329 0.495863 -0.409155
0.090000 2.066731 0.464880 -0.409069
0.095000 2.068978 0.433863 -0.408983
0.100000 2.071069 0.402812 -0.408897
0.105000 2.073006 0.371732 -0.408811
0.110000 2.074787 0.340623 -0.408724
0.115000 2.076412 0.309489 -0.408636
0.120000 2.077881 0.278332 -0.408549
0.125000 2.079195 0.247154 -0.408461
0.130000 2.080353 0.215957 -0.408373
0.135000 2.081355 0.184744 -0.408285
0.140000 2.082200 0.153518 -0.408196
0.145000 2.082890 0.122280 -0.408108
0.150000 2.083423 0.091032 -0.408019
0.155000 2.083800 0.059778 -0.407930
0.160000 2.084021 0.028519 -0.407842
0.165000 2.084085 -0.002741 -0.407753
0.170000 2.083994 -0.034002 -0.407664
0.175000 2.083745 -0.065260 -0.407575
0.180000 2.083341 -0.096513 -0.407486
0.185000 2.082780 -0.127759 -0.407398
0.190000 2.082063 -0.158995 -0.407309
0.195000 2.081190 -0.190220 -0.407221
0.200000 2.080161 -0.221430 -0.407132
0.205000 2.078976 -0.252623 -0.407044
0.210000 2.077635 -0.283798 -0.406956
0.215000 2.076138 -0.314951 -0.406868
0.220000 2.074485 -0.346081 -0.406781
0.225000 2.072677 -0.377185 -0.406694
0.230000 2.070714 -0.408260 -0.406607
0.235000 2.068595 -0.439305 -0.406520
0.240000 2.066321 -0.470317 -0.406434
0.245000 2.063892 -0.501293 -0.406348
0.250000 2.061308 -0.532232 -0.406263
0.255000 2.058569 -0.563131 -0.406178
0.260000 2.055676 -0.593988 -0.406093
0.265000 2.052629 -0.624801 -0.406009
0.270000 2.049428 -0.655566 -0.405926
0.275000 2.046074 -0.686282 -0.405843
0.280000 2.042566 -0.716947 -0.405761
0.285000 2.038904 -0.747558 -0.405679
0.290000 2.035090 -0.778113 -0.405598
0.295000 2.031123 -0.808610 -0.405517
0.300000 2.027004 -0.839046 -0.405437
0.305000 2.022733 -0.869419 -0.405358
0.310000 2.018310 -0.899726 -0.405280
0.315000 2.013735 -0.929967 -0.405202
0.320000 2.009010 -0.960137 -0.405125
0.325000 2.004134 -0.990236 -0.405049
0.330000 1.999108 -1.020260 -0.404973
0.335000 1.993931 -1.050208 -0.404899
0.340000 1.988606 -1.080077 -0.404825
0.345000 1.983131 -1.109865 -0.404752
0.350000 1.977507 -1.139570 -0.404680
0.355000 1.971735 -1.169189 -0.404609
0.360000 1.965815 -1.198721 -0.404539
0.365000 1.959748 -1.228163 -0.404470
0.370000 1.953533 -1.257512 -0.404401
0.375000 1.947173 -1.286767 -0.404334
0.380000 1.940666 -1.315926 -0.404268
0.385000 1.934013 -1.344986 -0.404203
0.390000 1.927216 -1.373946 -0.404139
0.395000 1.920274 -1.402802 -0.404076
0.400000 1.913188 -1.431553 -0.404014
0.405000 1.905958 -1.460196 -0.403953
0.410000 1.898586 -1.488730 -0.403893
0.415000 1.891071 -1.517153 -0.403835
0.420000 1.883414 -1.545461 -0.403777
0.425000 1.875616 -1.573654 -0.403721
0.430000 1.867678 -1.601729 -0.403666
0.435000 1.859599 -1.629683 -0.403612
0.440000 1.851381 -1.657516 -0.403560
0.445000 1.843024 -1.685224 -0.403508
0.450000 1.834529 -1.712805 -0.403458
0.455000 1.825896 -1.740259 -0.403410
0.460000 1.817126 -1.767581 -0.403362
0.465000 1.808220 -1.794771 -0.403316
0.470000 1.799178 -1.821827 -0.403271
0.475000 1.790002 -1.848746 -0.403228
0.480000 1.780691 -1.875526 -0.403186
0.485000 1.771247 -1.902165 -0.403145
0.490000 1.761669 -1.928662 -0.403105
0.495000 1.751960 -1.955015 -0.403067
0.500000 1.742119 -1.981220 -0.403031
0.505000 1.732148 -2.007277 -0.402996
0.510000 1.722046 -2.033184 -0.402962
0.515000 1.711816 -2.058938 -0.402929
0.520000 1.701457 -2.084537 -0.402898
0.525000 1.690971 -2.109980 -0.402869
0.530000 1.680357 -2.135265 -0.402841
0.535000 1.669618 -2.160390 -0.402814
0.540000 1.658753 -2.185353 -0.402789
0.545000 1.647764 -2.210152 -0.402766
0.550000 1.636652 -2.234785 -0.402743
0.555000 1.625416 -2.259250 -0.402723
0.560000 1.614059 -2.283546 -0.402704
0.565000 1.602581 -2.307671 -0.402686
0.570000 1.590983 -2.331623 -0.402670
0.575000 1.579265 -2.355400 -0.402655
0.580000 1.567429 -2.379000 -0.402642
0.585000 1.555475 -2.402422 -0.402631
0.590000 1.543404 -2.425663 -0.402621
0.595000 1.531218 -2.448723 -0.402612
0.600000 1.518917 -2.471599 -0.402605
0.605000 1.506502 -2.494290 -0.402600
0.610000 1.493974 -2.516793 -0.402596
0.615000 1.481334 -2.539108 -0.402593
0.620000 1.468583 -2.561233 -0.402592
0.625000 1.455722 -2.583165 -0.402593
0.630000 1.442751 -2.604903 -0.402595
0.635000 1.429673 -2.626447 -0.402599
0.640000 1.416487 -2.647793 -0.402605
0.645000 1.403195 -2.668940 -0.402611
0.650000 1.389798 -2.689888 -0.402620
0.655000 1.376296 -2.710634 -0.402630
0.660000 1.362691 -2.731176 -0.402641
0.665000 1.348984 -2.751513 -0.402654
0.670000 1.335176 -2.771645 -0.402669
0.675000 1.321268 -2.791568 -0.402685
0.680000 1.307260 -2.811282 -0.402702
0.685000 1.293155 -2.830785 -0.402721
0.690000 1.278953 -2.850076 -0.402742
0.695000 1.264654 -2.869153 -0.402764
0.700000 1.250261 -2.888015 -0.402787
0.705000 1.235774 -2.906660 -0.402812
0.710000 1.221194 -2.925087 -0.402839
0.715000 1.206523 -2.943295 -0.402867
0.720000 1.191762 -2.961282 -0.402896
0.725000 1.176910 -2.979047 -0.402927
0.730000 1.161971 -2.996589 -0.402959
0.735000 1.146945 -3.013906 -0.402993
0.740000 1.131832 -3.030997 -0.403028
0.745000 1.116635 -3.047860 -0.403064
0.750000 1.101353 -3.064495 -0.403102
0.755000 1.085990 -3.080900 -0.403142
0.760000 1.070544 -3.097074 -0.403182
0.765000 1.055019 -3.113016 -0.403224
0.770000 1.039414 -3.128724 -0.403268
0.775000 1.023732 -3.144198 -0.403312
0.780000 1.007972 -3.159436 -0.403359
0.785000 0.992137 -3.174436 -0.403406
0.790000 0.976228 -3.189199 -0.403455
0.795000 0.960245 -3.203723 -0.403504
0.800000 0.944191 -3.218006 -0.403556
0.805000 0.928065 -3.232048 -0.403608
0.810000 0.911870 -3.245847 -0.403662
0.815000 0.895607 -3.259403 -0.403717
0.820000 0.879276 -3.272715 -0.403773
0.825000 0.862880 -3.285781 -0.403830
0.830000 0.846418 -3.298601 -0.403889
0.835000 0.829894 -3.311173 -0.403948
0.840000 0.813307 -3.323497 -0.404009
0.845000 0.796659 -3.335572 -0.404071
0.850000 0.779951 -3.347397 -0.404134
0.855000 0.763185 -3.358970 -0.404198
0.860000 0.746361 -3.370292 -0.404263
0.865000 0.729482 -3.381361 -0.404329
0.870000 0.712548 -3.392176 -0.404396
0.875000 0.695560 -3.402737 -0.404464
0.880000 0.678520 -3.413042 -0.404533
0.885000 0.661430 -3.423092 -0.404603
0.890000 0.644289 -3.432885 -0.404674
0.895000 0.627101 -3.442420 -0.404746
0.900000 0.609865 -3.451697 -0.404819
0.905000 0.592584 -3.460716 -0.404893
0.910000 0.575258 -3.469475 -0.404967
0.915000 0.557889 -3.477973 -0.405043
0.920000 0.540478 -3.486211 -0.405119
0.925000 0.523027 -3.494187 -0.405196
0.930000 0.505536 -3.501901 -0.405273
0.935000 0.488008 -3.509353 -0.405352
0.940000 0.470443 -3.516541 -0.405431
0.945000 0.452842 -3.523466 -0.405511
0.950000 0.435208 -3.530126 -0.405591
0.955000 0.417541 -3.536522 -0.405672
0.960000 0.399843 -3.542652 -0.405754
0.965000 0.382115 -3.548517 -0.405837
0.970000 0.364358 -3.554116 -0.405919
0.975000 0.346574 -3.559448 -0.406003
0.980000 0.328763 -3.564513 -0.406087
0.985000 0.310928 -3.569310 -0.406171
0.990000 0.293070 -3.573840 -0.406256
0.995000 0.275190 -3.578102 -0.406342
1.000000 0.257289 -3.582096 -0.406427
1.005000 0.239369 -3.585821 -0.406513
1.010000 0.221431 -3.589277 -0.406600
1.015000 0.203476 -3.592464 -0.406687
1.020000 0.185506 -3.595381 -0.406774
1.025000 0.167522 -3.598029 -0.406861
1.030000 0.149526 -3.600407 -0.406949
1.035000 0.131518 -3.602514 -0.407037
1.040000 0.113501 -3.604352 -0.407125
1.045000 0.095475 -3.605919 -0.407214
1.050000 0.077442 -3.607216 -0.407302
1.055000 0.059403 -3.608243 -0.407391
1.060000 0.041359 -3.608998 -0.407479
1.065000 0.023313 -3.609483 -0.407568
1.070000 0.005264 -3.609698 -0.407657
1.075000 -0.012784 -3.609641 -0.407746
1.080000 -0.030832 -3.609314 -0.407835
1.085000 -0.048877 -3.608716 -0.407923
1.090000 -0.066919 -3.607848 -0.408012
1.095000 -0.084956 -3.606709 -0.408101
1.100000 -0.102986 -3.605299 -0.408189
1.105000 -0.121009 -3.603619 -0.408278
1.110000 -0.139022 -3.601669 -0.408366
