#Posizione iniziale=2.000000
#Velocita' iniziale=1.000000
#Pulsazione al quadrato=3.000000
#Tempo massimo di integrazione=100.000000
#Passo di tempo=0.050000
#E' stato utilizzato l'algoritmo Velvet Velocita'
#Legenda
#1:t 2:x 3:v 4:dE
0 2.000000 1.000000 0
0.050000 2.042500 0.696813 -0.409047
0.100000 2.069681 0.388399 -0.409018
0.150000 2.081340 0.077072 -0.409006
0.200000 2.077388 -0.234832 -0.409010
0.250000 2.057857 -0.544976 -0.409031
0.300000 2.022891 -0.851032 -0.409067
0.350000 1.972753 -1.150705 -0.409119
0.400000 1.907820 -1.441748 -0.409183
0.450000 1.828579 -1.721978 -0.409259
0.500000 1.735623 -1.989293 -0.409343
0.550000 1.629649 -2.241689 -0.409435
0.600000 1.511454 -2.477271 -0.409530
0.650000 1.381922 -2.694274 -0.409625
0.700000 1.242026 -2.891071 -0.409719
0.750000 1.092815 -3.066184 -0.409808
0.800000 0.935408 -3.218300 -0.409890
0.850000 0.770985 -3.346280 -0.409962
0.900000 0.600780 -3.449162 -0.410021
0.950000 0.426069 -3.526176 -0.410067
1.000000 0.248162 -3.576743 -0.410098
1.050000 0.068395 -3.600485 -0.410112
1.100000 -0.111886 -3.597223 -0.410110
1.150000 -0.291328 -3.566982 -0.410092
1.200000 -0.468584 -3.509989 -0.410057
1.250000 -0.642327 -3.426670 -0.410008
1.300000 -0.811251 -3.317652 -0.409945
1.350000 -0.974092 -3.183751 -0.409871
1.400000 -1.129627 -3.025972 -0.409787
1.450000 -1.276689 -2.845499 -0.409697
1.500000 -1.414176 -2.643684 -0.409602
1.550000 -1.541057 -2.422041 -0.409506
1.600000 -1.656381 -2.182233 -0.409412
1.650000 -1.759281 -1.926059 -0.409322
1.700000 -1.848986 -1.655439 -0.409240
1.750000 -1.924825 -1.372403 -0.409166
1.800000 -1.986227 -1.079074 -0.409105
1.850000 -2.032732 -0.777652 -0.409057
1.900000 -2.063992 -0.470398 -0.409024
1.950000 -2.079772 -0.159616 -0.409008
2.000000 -2.079954 0.152364 -0.409008
2.050000 -2.064536 0.463200 -0.409024
2.100000 -2.033633 0.770563 -0.409056
2.150000 -1.987479 1.072147 -0.409104
2.200000 -1.926419 1.365689 -0.409165
2.250000 -1.850910 1.648989 -0.409238
2.300000 -1.761520 1.919921 -0.409320
2.350000 -1.658918 2.176454 -0.409410
2.400000 -1.543875 2.416663 -0.409504
2.450000 -1.417252 2.638748 -0.409600
2.500000 -1.280000 2.841042 -0.409695
2.550000 -1.133148 3.022028 -0.409785
2.600000 -0.977797 3.180349 -0.409869
2.650000 -0.815113 3.314817 -0.409944
2.700000 -0.646315 3.424424 -0.410007
2.750000 -0.472670 3.508348 -0.410057
2.800000 -0.295481 3.565959 -0.410091
2.850000 -0.116075 3.596826 -0.410110
2.900000 0.064202 3.600716 -0.410113
2.950000 0.243997 3.577601 -0.410098
3.000000 0.421962 3.527654 -0.410068
3.050000 0.596762 3.451250 -0.410023
3.100000 0.767087 3.348961 -0.409963
3.150000 0.931659 3.221555 -0.409892
3.200000 1.089243 3.069988 -0.409810
3.250000 1.238657 2.895395 -0.409721
3.300000 1.378782 2.699087 -0.409628
3.350000 1.508566 2.482536 -0.409532
3.400000 1.627036 2.247366 -0.409437
3.450000 1.733303 1.995341 -0.409345
3.500000 1.826570 1.728350 -0.409261
3.550000 1.906138 1.448397 -0.409185
3.600000 1.971410 1.157581 -0.409120
3.650000 2.021896 0.858083 -0.409068
3.700000 2.057218 0.552150 -0.409032
3.750000 2.077111 0.242075 -0.409011
3.800000 2.081425 -0.069815 -0.409006
3.850000 2.070129 -0.381182 -0.409018
3.900000 2.043307 -0.689690 -0.409046
3.950000 2.001160 -0.993025 -0.409090
4.000000 1.944005 -1.288912 -0.409147
