#Posizione iniziale-->2
#Velocita' iniziale-->1
#Costante elastica-->6
#Massa oscillante-->2
#Tempo massimo di integrazione-->100
#Pulsazione al quadrato-->3
#Primo passo di tempo su cui si integra-->0.01
#E' stato utilizzato l'algoritmo di Eulero
#Legenda
#1:t 2:x 3:v 4:dE/Eo 5:E
0 2 1 0 13
0.01 2.01 0.94 0.0003 13.0039
0.02 2.0194 0.8797 0.00060009 13.0078
0.03 2.0282 0.819118 0.00090027 13.0117
0.04 2.03639 0.758272 0.00120054 13.0156
0.05 2.04397 0.69718 0.0015009 13.0195
0.06 2.05094 0.635861 0.00180135 13.0234
0.07 2.0573 0.574333 0.00210189 13.0273
0.08 2.06304 0.512614 0.00240252 13.0312
0.09 2.06817 0.450723 0.00270324 13.0351
0.1 2.07268 0.388678 0.00300405 13.0391
0.11 2.07656 0.326497 0.00330495 13.043
0.12 2.07983 0.2642 0.00360595 13.0469
0.13 2.08247 0.201805 0.00390703 13.0508
0.14 2.08449 0.139331 0.0042082 13.0547
0.15 2.08588 0.0767965 0.00450946 13.0586
0.16 2.08665 0.01422 0.00481082 13.0625
0.17 2.08679 -0.0483795 0.00511226 13.0665
0.18 2.08631 -0.110983 0.00541379 13.0704
0.19 2.0852 -0.173573 0.00571542 13.0743
0.2 2.08346 -0.236129 0.00601713 13.0782
0.21 2.0811 -0.298633 0.00631894 13.0821
0.22 2.07812 -0.361066 0.00662083 13.0861
0.23 2.07451 -0.423409 0.00692282 13.09
0.24 2.07027 -0.485644 0.00722489 13.0939
0.25 2.06542 -0.547752 0.00752706 13.0979
0.26 2.05994 -0.609715 0.00782932 13.1018
0.27 2.05384 -0.671513 0.00813167 13.1057
0.28 2.04713 -0.733128 0.00843411 13.1096
0.29 2.03979 -0.794542 0.00873664 13.1136
0.3 2.03185 -0.855736 0.00903926 13.1175
0.31 2.02329 -0.916691 0.00934197 13.1214
0.32 2.01412 -0.97739 0.00964477 13.1254
0.33 2.00435 -1.03781 0.00994767 13.1293
0.34 1.99397 -1.09794 0.0102507 13.1333
0.35 1.98299 -1.15776 0.0105537 13.1372
0.36 1.97142 -1.21725 0.0108569 13.1411
0.37 1.95924 -1.2764 0.0111602 13.1451
0.38 1.94648 -1.33517 0.0114635 13.149
0.39 1.93313 -1.39357 0.0117669 13.153
0.4 1.91919 -1.45156 0.0120705 13.1569
0.41 1.90468 -1.50914 0.0123741 13.1609
0.42 1.88958 -1.56628 0.0126778 13.1648
0.43 1.87392 -1.62296 0.0129816 13.1688
0.44 1.85769 -1.67918 0.0132855 13.1727
